,extent.ymax_group,tmax_wt,tmax_sp,tmax_sm,tmax_at,tmin_wt,tmin_sp,tmin_sm,tmin_at,tave_wt,tave_sp,tave_sm,tave_at,ppt_wt,ppt_sp,ppt_sm,ppt_at,dd_0_wt,dd_0_sp,dd_0_sm,dd_0_at,dd5_wt,dd5_sp,dd5_sm,dd5_at,nffd_wt,nffd_sp,nffd_sm,nffd_at,pas_wt,pas_sp,pas_sm,pas_at,eref_wt,eref_sp,eref_sm,eref_at,cmd_wt,cmd_sp,cmd_sm,cmd_at,mat,mwmt,mcmt,td,map,ahm,dd_0,dd5,nffd,pas,emt,ext,eref,cmd,rng_size,extent.ymax,variance
39,42,2.930434783,12.8,25.86521739,15.56086957,-7.982608696,0.247826087,10.92173913,1.869565217,-25.17391304,65.17391304,183.9130435,87.08695652,121.3043478,175,128.0434783,121.4347826,419.4782609,75.7826087,0,53.26086957,78.91304348,345.6086957,1233.434783,492.1304348,12.91304348,37.82608696,91.47826087,43.26086957,64.2173913,33.91304348,0.260869565,16.91304348,10.69565217,225.6086957,434.6521739,175.173913,0,91.86956522,306.3478261,90.95652174,7.765217391,19.9826087,-3.682608696,23.63478261,545.3913043,38.16956522,548.2173913,2150.086957,185.3043478,115.8695652,-31.88695652,36.6826087,846.1304348,489.173913,22.76086947,41.69565164,68.56956522
40,43,2.979411765,14.85147059,26.84411765,16.08676471,-6.538235294,2.879411765,13.44558824,4.320588235,-17.79411765,88.67647059,201.3382353,102.0882353,250.7352941,178.3823529,125.4411765,201.0294118,406.6323529,42.17647059,0,46.69117647,86.44117647,484.8382353,1394.25,591.8529412,16,50.42647059,91.76470588,61.26470588,30.23529412,5.323529412,0.044117647,3.441176471,31.73529412,235.9411765,428.3382353,163.8088235,0.176470588,105.7058824,302.7794118,64.85294118,9.376470588,21.26029412,-3.2,24.45147059,755.5588235,94.43382353,495.5441176,2557.220588,219.5147059,38.85294118,-28.175,38.04705882,859.8235294,473.5147059,26.61764696,42.75735241,66.22205882
41,44,1.95,12.48947368,23.63947368,14.52894737,-7.555263158,1.578947368,12.25263158,3.492105263,-27.92105263,70.42105263,179.6315789,90.07894737,152.5789474,190.5,226.8157895,189.1315789,510.4473684,85.73684211,0,57.47368421,123.4210526,400.8421053,1193.657895,518.3684211,19.97368421,44.47368421,92,49.89473684,44.73684211,21.65789474,0.868421053,9.710526316,18.86842105,197.3421053,368.1578947,147.7631579,0,57.05263158,155.0789474,31.57894737,7.797368421,19.21052632,-3.926315789,23.12368421,758.7368421,27.4,653.7368421,2236.236842,206.7894737,77.10526316,-29.91052632,34.82368421,732.1315789,243.7105263,26.9605262,43.76315735,64.73421053
42,45,2.1,14.4,24,14.7,-3.5,4.7,12.7,5.2,-7,95,184,100,143,180,216,146,230,20,0,20,46,511,1230,539,6,57,92,60,28,1,0,1,0,224,370,146,0,47,154,36,9.3,19.1,-1.6,20.7,685,28.2,270,2326,215,30,-25.7,34.3,740,237,11.49999995,44.49999946,60
43,46,-3.103846154,10.15769231,24.125,13.04423077,-11.15769231,0.061538462,13.25769231,3.407692308,-71.75,51.15384615,186.5576923,82.01923077,167.8461538,160.2307692,218.9423077,234.1923077,678.8269231,125.9615385,0,50.59615385,8.538461538,312.2692308,1260.634615,453.5576923,1.211538462,35.03846154,91.03846154,46.67307692,132.2115385,40.40384615,0.596153846,8.980769231,0,163.0576923,357.3076923,130.0576923,0,58.21153846,167,31.01923077,6.219230769,20.82884615,-8.498076923,29.33461538,781.4230769,41.95961538,855.8846154,2034.961538,173.7307692,181.4038462,-33.71538462,37.25576923,650.4230769,256.2307692,32.8557691,45.62499946,70.97115385
44,47,1.830434783,12.83913043,23.8826087,13.77391304,-4.817391304,2.891304348,12.20869565,4.656521739,-14.91304348,78.73913043,180.6086957,92.39130435,381.3043478,284.6956522,238.6956522,306.173913,300.6521739,46.2173913,0,28.04347826,37.56521739,416.0869565,1201.434783,488.2173913,10.43478261,47.34782609,91.82608696,56.47826087,69.82608696,16.82608696,1.086956522,12.17391304,14.26086957,197.7826087,363.4347826,130.7826087,0,61.56521739,155.1304348,28.43478261,8.395652174,18.99130435,-2.717391304,21.76086957,1211.434783,27.64347826,375.173913,2143,206,99.65217391,-26.4826087,35.00869565,706.2608696,245.1304348,14.99999994,46.78260815,61.49130435
45,48,0.373913043,11.3,21.77826087,12.6,-8.208695652,0.565217391,10.53043478,3.091304348,-39,58.95652174,161.6521739,77.95652174,179.5217391,204.2608696,323.8695652,223.173913,459.826087,88.60869565,0,43.17391304,28.91304348,312.5217391,1028.434783,403,3.086956522,31.7826087,92,47.43478261,93,41.30434783,0.434782609,15.69565217,0,187.4782609,336.2608696,119,0,30.65217391,23.34782609,0,6.465217391,17.14782609,-5.026086957,22.16956522,930.6086957,19.07391304,591.4782609,1772.913043,173.6521739,150.7826087,-31.33478261,32.12608696,642.7391304,54,27.60869554,47.52173858,63.46086957
46,49,-3.330434783,9.456521739,20.61304348,10.6173913,-11.43478261,-0.769565217,9.504347826,1.543478261,-73.47826087,43.30434783,150.2608696,60.60869565,139.3913043,185.1304348,290.5217391,184.3478261,717.4782609,130.6086957,0,77.82608696,12.82608696,243.2173913,925.1304348,309.5217391,1.217391304,25.47826087,92,36.08695652,96.7826087,33.95652174,1.086956522,22.73913043,0,165.2173913,318.8695652,103.8695652,0,9.391304348,40.47826087,3.782608696,4.517391304,16.04347826,-9.082608696,25.13043478,799.3913043,18.26086957,925.826087,1490.695652,154.9565217,154.5217391,-34.7173913,32.34782609,587.9565217,53.65217391,20.41304339,48.60869509,67.06521739
47,50,-4.033333333,8.888888889,21.16666667,9.030555556,-12.18333333,-1.883333333,9.075,-0.463888889,-81.08333333,34.97222222,151.1666667,43.16666667,227.1111111,181.7222222,196.3333333,212.6111111,838.1944444,187.75,0,174.6944444,21.11111111,230.2222222,932.5833333,278.25,10.44444444,34.11111111,91.33333333,39.38888889,93.94444444,39.27777778,1.194444444,40.86111111,7.777777778,150.6666667,330.1388889,89.88888889,0,29.88888889,133.6944444,9.5,3.708333333,16.225,-9.452777778,25.68333333,817.9166667,18.84444444,1200.972222,1462.388889,174.9444444,175.5555556,-35.5,34.23611111,578.4722222,173.0833333,22.19444436,49.49999944,69.73611111
48,51,-3.3,-0.6,8.1,5.4,-10.9,-6.2,4,0.1,-71,-34,60,27,291,306,335,395,672,418,13,127,8,16,204,126,1,0,62,31,250,273,47,132,0,0,136,53,0,0,0,0,-0.4,8.6,-7.6,16.2,1328,7.2,1231,352,94,702,-34.8,24.5,189,0,27.49999989,50.99999943,59.3
49,52,5.262962963,12.24444444,20.64074074,14.32962963,0.496296296,5.114814815,12.53333333,7.940740741,28.33333333,87.14814815,165.5185185,111.1111111,146.5185185,140.6296296,172.3333333,190.037037,111.7407407,19.11111111,0,9.481481481,132.1481481,430.5555556,1067.555556,607.2222222,17.81481481,62.81481481,92,81.85185185,8.555555556,1.296296296,0,0.296296296,25.92592593,163.4444444,275.5925926,96.03703704,0,37.40740741,103.5185185,2.592592593,9.777777778,17.36296296,2.274074074,15.11481481,649.5185185,30.57407407,140.6296296,2236.777778,254.4814815,10.40740741,-20.55555556,29.87407407,561,143.5185185,25.03703693,51.51851795,50.42962963
50,53,-5.757142857,9.995238095,22.73809524,9.180952381,-12.76190476,0.228571429,11.54761905,1.004761905,-92.9047619,51.61904762,171.3333333,50.71428571,99.9047619,109.3809524,219.3809524,134.8095238,872.6190476,189.952381,0.285714286,146.7619048,8.285714286,373.4285714,1119,311.1904762,0.619047619,39.71428571,86.19047619,37.9047619,80.80952381,18.04761905,2.285714286,21.23809524,0,148.7619048,323.952381,83.14285714,0,70.19047619,108.1904762,6.666666667,4.5,17.88095238,-11.09047619,29.03333333,562.6666667,25.22380952,1209.619048,1811.571429,164.4285714,122.3809524,-35.01428571,34.56666667,555.8571429,185.047619,20.35714278,52.64285657,69.58095238
51,54,-17.51578947,6.005263158,22.75789474,3.284210526,-32.43684211,-10.19473684,8.468421053,-10.56842105,-250.0526316,-20.63157895,156.1578947,-36.73684211,23.84210526,68,278,88.36842105,2267,499.6842105,0,632.1578947,4.947368421,119.9473684,979.1578947,127.3684211,0.631578947,3.210526316,92,5.210526316,14.52631579,27.31578947,0.368421053,31,1.315789474,96.89473684,345.6842105,55.84210526,0,57.26315789,72.05263158,2.210526316,-3.752631579,17.45263158,-26.93157895,44.38421053,458.2105263,13.18421053,3399.473684,1231.684211,101.0526316,73.21052632,-52.63157895,37.35789474,499.7368421,131.5263158,43.18421035,53.84210468,89.98947369
52,55,-6.593333333,6.686666667,19.53333333,8.366666667,-12.54666667,-1.466666667,11.06,1.926666667,-95.46666667,25.66666667,153.2,51.46666667,123.7333333,117.8666667,192.9333333,195.2,919.2666667,223.9333333,0,147.7333333,14.4,212.5333333,952.2666667,316.9333333,2.666666667,27.66666667,92,47.06666667,80.53333333,36.13333333,0.333333333,44.2,0,115.7333333,260.6,67.93333333,0,34.6,73.2,3.333333333,3.366666667,16.72666667,-10.97333333,27.7,629.5333333,22.00666667,1291.066667,1496.133333,169.4,160.8666667,-34.95333333,32.33333333,444.2666667,111.1333333,24.76666657,54.76666609,67.28666666
